Time,Sx,Sy,Sz,Hx,Hy,Hz
0,0,0,1,0,0,2.82743
0.06006,0.01404,7.84E-04,0.9999,0,0.46304,2.73901
0.12012,0.05382,0.00578,0.99853,0,0.86092,2.4862
0.18018,0.11285,0.01702,0.99347,0,1.13764,2.10456
0.24024,0.18193,0.03346,0.98274,0,1.25428,1.64781
0.3003,0.25093,0.05169,0.96663,0,1.1944,1.18022
0.36036,0.31037,0.06793,0.94819,0,0.96644,0.7676
0.42042,0.35252,0.07999,0.93238,0,0.60248,0.468
0.48048,0.37193,0.08833,0.92405,0,0.15373,0.3236
0.54054,0.36555,0.09555,0.92587,0,-0.31664,0.35471
0.6006,0.3329,0.10486,0.93711,0,-0.74246,0.55695
0.66066,0.27617,0.11799,0.95384,0,-1.0638,0.90187
0.72072,0.20043,0.13389,0.97052,0,-1.23543,1.34092
0.78078,0.11369,0.1486,0.98234,0,-1.23321,1.81232
0.84084,0.02631,0.15692,0.98726,0,-1.05744,2.24973
0.9009,-0.05031,0.15484,0.98666,0,-0.73287,2.5916
0.96096,-0.10561,0.14177,0.98425,0,-0.30516,2.78982
1.02102,-0.1321,0.12121,0.9838,0,0.16549,2.81649
1.08108,-0.12704,0.09933,0.98691,0,0.61286,2.66786
1.14114,-0.09302,0.08224,0.99226,0,0.97397,2.36484
1.2012,-0.0374,0.07346,0.9966,0,1.19803,1.95009
1.26126,0.0294,0.07285,0.99691,0,1.25349,1.48196
1.32132,0.09595,0.07744,0.99237,0,1.13256,1.02633
1.38138,0.15161,0.08355,0.9849,0,0.85224,0.64732
1.44144,0.18788,0.08877,0.97817,0,0.452,0.39826
1.5015,0.19909,0.09278,0.97558,0,-0.01186,0.31422
1.56156,0.18269,0.09678,0.9784,0,-0.47404,0.407
1.62162,0.13948,0.10185,0.98497,0,-0.86952,0.66356
1.68168,0.07369,0.10723,0.9915,0,-1.14263,1.04779
1.74174,-0.00701,0.10966,0.99394,0,-1.25495,1.50562
1.8018,-0.09205,0.10426,0.99028,0,-1.19066,1.97262
1.86186,-0.16914,0.08681,0.98176,0,-0.95882,2.38308
