Time,Sx,Sy,Sz,Hx,Hy,Hz
0,0,0,1,0.31416,0,1.5708
0.06006,8.89E-04,-0.01884,0.99982,0.31416,0,1.5708
0.12012,0.00355,-0.0375,0.99929,0.31416,0,1.5708
0.18018,0.00795,-0.05582,0.99841,0.31416,0,1.5708
0.24024,0.01407,-0.07362,0.99719,0.31416,0,1.5708
0.3003,0.02183,-0.09075,0.99563,0.31416,0,1.5708
0.36036,0.03116,-0.10703,0.99377,0.31416,0,1.5708
0.42042,0.04199,-0.12232,0.9916,0.31416,0,1.5708
0.48048,0.05421,-0.13648,0.98916,0.31416,0,1.5708
0.54054,0.0677,-0.14938,0.98646,0.31416,0,1.5708
0.6006,0.08235,-0.16089,0.98353,0.31416,0,1.5708
0.66066,0.09801,-0.17092,0.9804,0.31416,0,1.5708
0.72072,0.11455,-0.17937,0.97709,0.31416,0,1.5708
0.78078,0.1318,-0.18616,0.97364,0.31416,0,1.5708
0.84084,0.14962,-0.19122,0.97008,0.31416,0,1.5708
0.9009,0.16783,-0.19452,0.96643,0.31416,0,1.5708
0.96096,0.18626,-0.19602,0.96275,0.31416,0,1.5708
1.02102,0.20476,-0.1957,0.95905,0.31416,0,1.5708
1.08108,0.22313,-0.19358,0.95537,0.31416,0,1.5708
1.14114,0.24123,-0.18966,0.95175,0.31416,0,1.5708
1.2012,0.25887,-0.184,0.94823,0.31416,0,1.5708
1.26126,0.27589,-0.17662,0.94482,0.31416,0,1.5708
1.32132,0.29214,-0.16762,0.94157,0.31416,0,1.5708
1.38138,0.30747,-0.15706,0.93851,0.31416,0,1.5708
1.44144,0.32173,-0.14506,0.93565,0.31416,0,1.5708
1.5015,0.3348,-0.13171,0.93304,0.31416,0,1.5708
1.56156,0.34654,-0.11714,0.93069,0.31416,0,1.5708
1.62162,0.35686,-0.10149,0.92863,0.31416,0,1.5708
1.68168,0.36566,-0.0849,0.92687,0.31416,0,1.5708
1.74174,0.37286,-0.06752,0.92543,0.31416,0,1.5708
1.8018,0.37838,-0.04952,0.92432,0.31416,0,1.5708
1.86186,0.38219,-0.03106,0.92356,0.31416,0,1.5708
1.92192,0.38424,-0.01232,0.92315,0.31416,0,1.5708
1.98198,0.38451,0.00654,0.9231,0.31416,0,1.5708
2.04204,0.383,0.02534,0.9234,0.31416,0,1.5708
2.1021,0.37973,0.0439,0.92405,0.31416,0,1.5708
2.16216,0.37473,0.06206,0.92505,0.31416,0,1.5708
2.22222,0.36804,0.07964,0.92639,0.31416,0,1.5708
2.28228,0.35973,0.09649,0.92805,0.31416,0,1.5708
2.34234,0.34986,0.11245,0.93003,0.31416,0,1.5708
2.4024,0.33854,0.12736,0.93229,0.31416,0,1.5708
2.46246,0.32587,0.1411,0.93483,0.31416,0,1.5708
2.52252,0.31196,0.15353,0.93761,0.31416,0,1.5708
2.58258,0.29695,0.16454,0.94061,0.31416,0,1.5708
2.64264,0.28096,0.17403,0.94381,0.31416,0,1.5708
2.7027,0.26416,0.18191,0.94717,0.31416,0,1.5708
2.76276,0.24669,0.18811,0.95066,0.31416,0,1.5708
2.82282,0.22872,0.19257,0.95426,0.31416,0,1.5708
2.88288,0.21041,0.19525,0.95792,0.31416,0,1.5708
2.94294,0.19194,0.19612,0.96161,0.31416,0,1.5708
3.003,0.17347,0.19517,0.96531,0.31416,0,1.5708
3.06306,0.15517,0.19242,0.96897,0.31416,0,1.5708
3.12312,0.13721,0.1879,0.97256,0.31416,0,1.5708
3.18318,0.11977,0.18163,0.97605,0.31416,0,1.5708
3.24324,0.103,0.17368,0.9794,0.31416,0,1.5708
3.3033,0.08705,0.16413,0.98259,0.31416,0,1.5708
3.36336,0.07208,0.15306,0.98558,0.31416,0,1.5708
3.42342,0.05821,0.14057,0.98836,0.31416,0,1.5708
3.48348,0.04559,0.12679,0.99088,0.31416,0,1.5708
3.54354,0.03433,0.11183,0.99313,0.31416,0,1.5708
3.6036,0.02452,0.09583,0.9951,0.31416,0,1.5708
3.66366,0.01627,0.07895,0.99675,0.31416,0,1.5708
3.72372,0.00965,0.06134,0.99807,0.31416,0,1.5708
3.78378,0.00472,0.04317,0.99906,0.31416,0,1.5708
3.84384,0.00152,0.02459,0.9997,0.31416,0,1.5708
3.9039,8.37E-05,0.00579,0.99998,0.31416,0,1.5708
3.96396,4.28E-04,-0.01307,0.99991,0.31416,0,1.5708
4.02402,0.00255,-0.03181,0.99949,0.31416,0,1.5708
4.08408,0.00642,-0.05025,0.99872,0.31416,0,1.5708
4.14414,0.01201,-0.06823,0.9976,0.31416,0,1.5708
4.2042,0.01927,-0.08558,0.99615,0.31416,0,1.5708
4.26426,0.02814,-0.10213,0.99437,0.31416,0,1.5708
4.32432,0.03852,-0.11774,0.9923,0.31416,0,1.5708
4.38438,0.05032,-0.13226,0.98994,0.31416,0,1.5708
4.44444,0.06343,-0.14556,0.98731,0.31416,0,1.5708
4.5045,0.07774,-0.15751,0.98445,0.31416,0,1.5708
4.56456,0.09311,-0.16801,0.98138,0.31416,0,1.5708
4.62462,0.10939,-0.17695,0.97812,0.31416,0,1.5708
